pFactor,iFactor,dFactor,delay,latency,iLength,dLength,median
0.11,0.45,0.17,0,1,2,2,0.207341143842541
0.11,0.45,0.18,0,1,2,2,0.6485104502590104
0.11,0.45,0.2,0,1,2,2,0.9728970256948628
0.11,0.45,0.21,0,1,2,2,0.2735204929416284
0.11,0.45,0.22,0,1,2,2,0.3517480758359852
0.11,0.45,0.24,0,1,2,2,0.6811842971887501
0.11,0.45,0.26,0,1,2,2,0.07645167888864535
0.11,0.46,0.1,0,1,2,2,0.9127563743855802
0.11,0.46,0.11,0,1,2,2,0.6107464092494297
0.11,0.46,0.12,0,1,2,2,0.24604811511542835
0.11,0.46,0.13,0,1,2,2,0.24564897345595682
0.11,0.46,0.14,0,1,2,2,0.48717596543994546
0.11,0.46,0.15,0,1,2,2,0.618443862191441
0.11,0.47,0.09,0,1,2,2,0.669957044509971
0.11,0.47,0.1,0,1,2,2,0.37653478617528435
0.11,0.47,0.11,0,1,2,2,0.10606643465165178
0.11,0.47,0.12,0,1,2,2,0.9021426761325273
0.11,0.47,0.3,0,1,2,2,0.3375605330778626
0.11,0.48,0.04,0,1,2,2,0.853069733990111
0.11,0.48,0.08,0,1,2,2,0.23250912359520726
0.11,0.48,0.09,0,1,2,2,0.5822897167008705
0.11,0.49,0.02,0,1,2,2,0.7037294972518566
0.11,0.49,0.08,0,1,2,2,0.9161914727489204
0.11,0.5,0.05,0,1,2,2,0.3332376976730984
0.11,0.5,0.18,0,1,2,2,0.6830906443759517
0.12,0.4,0.4,0,1,2,2,0.7599397911892538
0.12,0.4,0.41,0,1,2,2,0.6612104333053708
0.12,0.4,0.42,0,1,2,2,0.44310418768699833
0.12,0.4,0.43,0,1,2,2,0.4093484516407102
0.12,0.4,0.44,0,1,2,2,0.18300481720476114
0.12,0.4,0.45,0,1,2,2,0.37687210984054786
0.12,0.4,0.46,0,1,2,2,0.8531143701167423
0.12,0.4,0.47,0,1,2,2,0.993719345059759
0.12,0.4,0.49,0,1,2,2,0.9109514993813832
0.12,0.4,0.5,0,1,2,2,0.3878922890180121
0.12,0.44,0.16,0,1,2,2,0.9744820293962846
0.12,0.44,0.17,0,1,2,2,0.7910299568483197
0.12,0.44,0.18,0,1,2,2,0.7835763846124735
0.12,0.44,0.19,0,1,2,2,0.37486841360923506
0.12,0.44,0.2,0,1,2,2,0.15857726400096794
0.12,0.44,0.21,0,1,2,2,0.3321182854844267
0.12,0.44,0.22,0,1,2,2,0.1581154334548387
0.12,0.44,0.23,0,1,2,2,0.8488837886715288
0.12,0.44,0.24,0,1,2,2,0.776203417185144
0.12,0.44,0.25,0,1,2,2,0.23872636313600992
